#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
6.90996,3,0.718524
-20.0,1,0.718553
-20.0,1,0.718579
-19.9,2,0.719088
-20.0,1,0.719143
-20.0,1,0.719174
-20.0,1,0.719587
-20.0,1,0.719623
-20.0,1,0.719675
-20.0,1,0.719705
-20.0,1,0.720118
-19.8,3,0.720198
6.236402,3,0.720947
-20.0,1,0.720987
-20.0,1,0.721548
6.67815,3,0.7217
7.086539,3,0.722478
6.94176,3,0.723034
-20.0,1,0.723071
-20.0,1,0.723099
-20.0,1,0.723552
-20.0,1,0.723597
-20.0,1,0.72363
-20.0,1,0.723658
-20.0,1,0.72413
-19.9,2,0.724188
7.02354,3,0.72469
-20.0,1,0.724728
-20.0,1,0.724787
-20.0,1,0.72523
7.00448,3,0.72531
-20.0,1,0.725759
-20.0,1,0.72581
-19.8,3,0.726355
-20.0,1,0.726388
-20.0,1,0.726414
-20.0,1,0.726464
-20.0,1,0.726875
-20.0,1,0.726909
-19.8,3,0.727388
-19.8,3,0.727541
-20.0,1,0.727983
-20.0,1,0.728014
6.949544,3,0.728512
-20.0,1,0.728564
-20.0,1,0.728592
-20.0,1,0.728616
-20.0,1,0.729048
6.948613,3,0.729245
-20.0,1,0.729664
6.94224,3,0.729747
-0.776278,3,0.730255
-20.0,1,0.730307
-20.0,1,0.730728
-20.0,1,0.73076
6.895197,3,0.731326
-20.0,1,0.731382
-19.9,2,0.731478
-20.0,1,0.731906
-20.0,1,0.731939
-20.0,1,0.731987
-19.8,3,0.732515
